"","Activity","Subject","tBodyAcc.mean...X","tBodyAcc.mean...Y","tBodyAcc.mean...Z","tBodyAcc.std...X","tBodyAcc.std...Y","tBodyAcc.std...Z","tGravityAcc.mean...X","tGravityAcc.mean...Y","tGravityAcc.mean...Z","tGravityAcc.std...X","tGravityAcc.std...Y","tGravityAcc.std...Z","tBodyAccJerk.mean...X","tBodyAccJerk.mean...Y","tBodyAccJerk.mean...Z","tBodyAccJerk.std...X","tBodyAccJerk.std...Y","tBodyAccJerk.std...Z","tBodyGyro.mean...X","tBodyGyro.mean...Y","tBodyGyro.mean...Z","tBodyGyro.std...X","tBodyGyro.std...Y","tBodyGyro.std...Z","tBodyGyroJerk.mean...X","tBodyGyroJerk.mean...Y","tBodyGyroJerk.mean...Z","tBodyGyroJerk.std...X","tBodyGyroJerk.std...Y","tBodyGyroJerk.std...Z","tBodyAccMag.mean..","tBodyAccMag.std..","tGravityAccMag.mean..","tGravityAccMag.std..","tBodyAccJerkMag.mean..","tBodyAccJerkMag.std..","tBodyGyroMag.mean..","tBodyGyroMag.std..","tBodyGyroJerkMag.mean..","tBodyGyroJerkMag.std..","fBodyAcc.mean...X","fBodyAcc.mean...Y","fBodyAcc.mean...Z","fBodyAcc.std...X","fBodyAcc.std...Y","fBodyAcc.std...Z","fBodyAcc.meanFreq...X","fBodyAcc.meanFreq...Y","fBodyAcc.meanFreq...Z","fBodyAccJerk.mean...X","fBodyAccJerk.mean...Y","fBodyAccJerk.mean...Z","fBodyAccJerk.std...X","fBodyAccJerk.std...Y","fBodyAccJerk.std...Z","fBodyAccJerk.meanFreq...X","fBodyAccJerk.meanFreq...Y","fBodyAccJerk.meanFreq...Z","fBodyGyro.mean...X","fBodyGyro.mean...Y","fBodyGyro.mean...Z","fBodyGyro.std...X","fBodyGyro.std...Y","fBodyGyro.std...Z","fBodyGyro.meanFreq...X","fBodyGyro.meanFreq...Y","fBodyGyro.meanFreq...Z","fBodyAccMag.mean..","fBodyAccMag.std..","fBodyAccMag.meanFreq..","fBodyBodyAccJerkMag.mean..","fBodyBodyAccJerkMag.std..","fBodyBodyAccJerkMag.meanFreq..","fBodyBodyGyroMag.mean..","fBodyBodyGyroMag.std..","fBodyBodyGyroMag.meanFreq..","fBodyBodyGyroJerkMag.mean..","fBodyBodyGyroJerkMag.std..","fBodyBodyGyroJerkMag.meanFreq.."
"1","WALKING",2,0.275033616754967,-0.0175354927228477,-0.107300312417219,-0.310386090519868,-0.0443987296705629,-0.307308170506954,0.941616751059603,-0.207818799460265,-0.0156659164986722,-0.976574628245033,-0.967962374139073,-0.956034772781457,0.0755895883224503,0.0188098097655629,-0.000762827444701986,-0.243285811030762,-0.0588199035364238,-0.495636869615894,-0.0261412961684768,-0.0690590398285199,0.0840350130137417,-0.487879627397351,-0.34960999453543,-0.356087415248675,-0.105307220899007,-0.0538348380589073,-0.0493960770183113,-0.374485738643046,-0.531497023258278,-0.443724111718543,-0.185784627471523,-0.321419649538411,-0.185784627471523,-0.321419649538411,-0.24061579230755,-0.157027766843709,-0.29150777116457,-0.412720608130132,-0.478386922350993,-0.504494959374172,-0.276252673479305,-0.0336558631219868,-0.357780946396358,-0.325625222312252,-0.112606709222185,-0.336372197730464,-0.261162657350331,0.124074160093907,0.0936579889854305,-0.279338398796225,-0.123191511518046,-0.456036946483113,-0.274285758895596,-0.0529104196341722,-0.534299808523179,-0.222803190644139,-0.277256385292417,-0.190537942199338,-0.363783741160265,-0.400149283610166,-0.318428300602649,-0.529173512304636,-0.328675324154636,-0.429656597784768,-0.0237574684076159,-0.112457153246689,-0.0313297034178808,-0.258401468251656,-0.466763888013245,0.207233920037351,-0.166179470777351,-0.152188299623046,0.0347310330241623,-0.430649631714536,-0.504651960066225,0.165533655289073,-0.525341176206689,-0.514235069395033,0.0838658358759271
"2","WALKING",4,0.278952167602524,-0.0179709257099779,-0.109635509303785,-0.323370621155205,0.0354830790908202,-0.327296829644448,0.931516519463722,-0.17856432874448,-0.0216443738122713,-0.977781165141956,-0.966376713059937,-0.958636897602524,0.0792179265822398,0.00209016508454259,0.00543365678416404,-0.274792857992114,-0.103923793516404,-0.539983718511041,-0.0357987803056151,-0.0691663279500631,0.0815625325000457,-0.442743700035331,-0.382150930842902,-0.357468329616719,-0.0940847317314827,-0.0359754021169716,-0.0510916287290221,-0.380825482605047,-0.564272787919874,-0.428717614176341,-0.161842616260177,-0.367999628267729,-0.161842616260177,-0.367999628267729,-0.255442219088644,-0.250081461639117,-0.277710355087886,-0.402776899701577,-0.481813163929968,-0.549854325182965,-0.319558506029653,-0.0165232088599369,-0.410348952334385,-0.326592292383281,-0.00441876391485804,-0.337405262412271,-0.274860292237855,0.00248666235268139,0.0392122081707476,-0.323463055838486,-0.17896734454429,-0.515303646059937,-0.289804552952366,-0.0831369444600946,-0.563651580232461,-0.254064101793344,-0.41413218562776,-0.265097108583565,-0.329738798933754,-0.428414496744795,-0.317536246987697,-0.481075576469401,-0.362570655149716,-0.432379266429022,-0.112689766908959,-0.144372810002744,-0.0291934775054259,-0.308237066212303,-0.504347691892745,0.199868886766782,-0.243400477515836,-0.265947534988202,0.104418428928801,-0.439633732669085,-0.483238694325237,0.113457300600536,-0.564877698012618,-0.563968601129338,0.136554302408202
"3","WALKING",9,0.276722037743056,-0.0171091957137465,-0.110276833923611,-0.292190862369444,-0.0703100238416667,-0.236876692413194,0.941144888402778,-0.146620470574306,-0.0635177597993056,-0.9788797728125,-0.968765526944444,-0.953496884722222,0.0834422186386806,0.00322292085170139,-0.00438404280440972,-0.246924226765278,-0.117500762408333,-0.439861043340972,-0.0407155962278125,-0.0696136273264583,0.0874294938152778,-0.4883877125,-0.389437316993056,-0.317802771236111,-0.0938943119127326,-0.0400030847385417,-0.0584877233602083,-0.382956268288194,-0.513481872958333,-0.408474873061111,-0.153342713066896,-0.327620073625,-0.153342713066896,-0.327620073625,-0.222411674027809,-0.191322836945486,-0.301616236362882,-0.418093804468403,-0.4585634585125,-0.495837645097917,-0.278807305910417,-0.0706190265661805,-0.312310682592014,-0.299523508222222,-0.131038736867257,-0.25855993815309,-0.288874655097917,0.0848994549108333,0.111316896314583,-0.294800143283333,-0.180002970272917,-0.417203134716319,-0.265498356453438,-0.109578869915625,-0.461572919016319,-0.275133287930556,-0.332488617485417,-0.224225730485521,-0.351981089168056,-0.410093461332361,-0.278847571577083,-0.533543744618056,-0.384349715151389,-0.39654159984375,-0.0522720933270833,-0.0388301658452778,-0.0502955511084722,-0.262311046390278,-0.473590698611111,0.191699940755556,-0.19348845675,-0.195331578139479,0.0567342387334722,-0.434354242645833,-0.510663496898958,0.183458281511111,-0.513757082857639,-0.509649473441319,0.13964852449684
"4","WALKING",10,0.277217574693878,-0.0191774217673129,-0.108725029719048,-0.289013666504422,-0.0211222019955782,-0.223254887672789,0.937239074251701,-0.218654883207483,-0.0776319184465204,-0.975370526530612,-0.964192009047619,-0.952963637006803,0.0675557055009864,0.0208915158536735,-0.0131808506289116,-0.244449169392857,-0.0822015978314966,-0.39919902229517,-0.0391425240826531,-0.0649991488729932,0.0961425514565986,-0.471072804632653,-0.314486949240476,-0.304238832114966,-0.0928529868483878,-0.0507007556321769,-0.0587046487541837,-0.367242749428571,-0.424960146687415,-0.424745778630612,-0.14107378135034,-0.305960813352653,-0.14107378135034,-0.305960813352653,-0.19856827472415,-0.175725162347517,-0.253838642028912,-0.314540730339116,-0.409736303065986,-0.40982503172585,-0.267517381583673,-0.0273461550421769,-0.269621979041939,-0.298922067896939,-0.0813440061159864,-0.260441120658503,-0.294814794323129,0.0503153119748299,0.13222327678051,-0.290000601227891,-0.150528353701361,-0.373478819930884,-0.265113910178571,-0.0699810490926259,-0.424099452913265,-0.265205983948299,-0.345950950598639,-0.23583675112449,-0.335266009829252,-0.332605786892517,-0.286030507159524,-0.515452759486395,-0.311051923052721,-0.37599498785034,-0.0521160169304082,-0.0195484506670748,-0.0741264380784014,-0.234225962676191,-0.459141145782313,0.199637126881429,-0.170674843741497,-0.190321999872619,0.0904585073785714,-0.341885328597959,-0.416653694193537,0.195225501551156,-0.436432300014864,-0.419334613313605,0.127868640750136
"5","WALKING",12,0.27480241434375,-0.0174949352297966,-0.107059442371875,-0.351343532759375,-0.0343939423913438,-0.291913961913875,0.92982876390625,-0.22145057000625,-0.0600014703371875,-0.9792130898125,-0.968373737875,-0.95378983925,0.07532029955775,0.0103939423903125,-0.00855135436194063,-0.3162818293225,-0.142172822460572,-0.520699521407187,-0.0345356407188438,-0.0709820478080938,0.0877786971314062,-0.48892256921875,-0.314530433555,-0.36596129286875,-0.0873966955199687,-0.0432409683015312,-0.050393170933125,-0.396390576221875,-0.518170076615625,-0.51211156234375,-0.200460754934375,-0.355604002696875,-0.200460754934375,-0.355604002696875,-0.285528661884375,-0.272870668362,-0.273853322828719,-0.378578708453125,-0.47468208028125,-0.52144183608125,-0.332952098253125,-0.0637784241058125,-0.369505560685,-0.359853880651875,-0.0814515411585312,-0.306915435636563,-0.3132113929625,0.0294811980343625,0.0251212590142531,-0.357567889969688,-0.204672697707187,-0.494078016440625,-0.334859226519375,-0.132294107675125,-0.546331881236563,-0.273835953772188,-0.371014788184375,-0.263175075464687,-0.3874005494375,-0.377901035185281,-0.352177096084375,-0.523115877075,-0.286008819800719,-0.430167743421875,-0.075756280936875,-0.144639019299344,-0.134894488576094,-0.302033758470781,-0.489030875390625,0.136491286862791,-0.270377699112375,-0.282989086879062,0.088936942153,-0.408579108114063,-0.4677681275125,0.153931817744498,-0.529558115371875,-0.546056658075,0.138026150075375
"6","WALKING",13,0.274773251243781,-0.0183038545555373,-0.111200034069652,-0.318516155628905,-0.00489690367497512,-0.238117220395025,0.926633244427861,-0.208950543348259,-0.10336876838806,-0.977817547711443,-0.965103983880597,-0.95132064,0.0804691330651741,0.0152942791753807,0.0118812415273632,-0.27610023805005,-0.11641191938408,-0.465501637073134,-0.0312069819479104,-0.0740648227442786,0.0793422733772139,-0.42735156739801,-0.333982278297562,-0.317769265726368,-0.0917955366247612,-0.0438974473536816,-0.0579901970635323,-0.342940927725871,-0.520935189079602,-0.468506611228856,-0.159164592253731,-0.347201023044776,-0.159164592253731,-0.347201023044776,-0.24047943821791,-0.242210211539801,-0.23941619698806,-0.360866107182587,-0.454558176502488,-0.508416701692239,-0.312181816256716,-0.0433784667524378,-0.313746570771144,-0.322167018995025,-0.0488684515281095,-0.258990475534826,-0.287905586833333,0.011805120430199,0.0467048049267164,-0.319796622003035,-0.188519223218612,-0.435340552343284,-0.295997554170149,-0.0978973423094527,-0.494617619572139,-0.260115926053234,-0.395624988429353,-0.272412269523383,-0.305313070597015,-0.374750971861194,-0.301479961352836,-0.467919065945075,-0.317303951519403,-0.3869617249801,-0.0952016217820896,-0.132304124497512,-0.130006676257711,-0.287083747421244,-0.486823444129353,0.169369337866169,-0.248089775066169,-0.2417556969,0.0903048618549254,-0.392150582766667,-0.453213707094527,0.177061570881095,-0.518751279885572,-0.531972704634826,0.172397362803483
"7","WALKING_UPSTAIRS",13,0.266270914111111,-0.0280464278026984,-0.117701267716667,-0.182445816714286,-0.00837590868809524,-0.234216007235714,0.90189487015873,-0.288837790634921,-0.0913847672807143,-0.950564784047619,-0.92166838015873,-0.905494067142857,0.0836863991706349,-0.00507234018888889,0.00958434267777778,-0.328959764373016,-0.298864775840476,-0.637312567222222,-0.0392075667349206,-0.0500666301021429,0.0763443692634921,-0.447835566293651,-0.384947139849206,-0.309325265373016,-0.103177823450794,-0.0502613587553968,-0.0568482031279365,-0.467404286540476,-0.668879919603175,-0.498248749778889,-0.0820787307030159,-0.202786797709524,-0.0820787307030159,-0.202786797709524,-0.36804200568254,-0.356968525571429,-0.207070009193016,-0.330500884444444,-0.577557352738095,-0.63899192968254,-0.252949156360317,-0.108204422438889,-0.413844290650794,-0.157581622724286,-0.022993814155,-0.207471688746032,-0.449620136309524,-0.140674322962857,-0.24019176552619,-0.362935380746032,-0.332960876715079,-0.609514702380952,-0.354506731412698,-0.310164843744444,-0.664373543968254,-0.35832054667619,-0.471845430722222,-0.424135196142857,-0.339900745920635,-0.487645452380952,-0.30117353366746,-0.486858787325397,-0.339435527444444,-0.380186714992064,-0.145043294765873,-0.284002079453175,-0.165781785436508,-0.223584956879365,-0.316553281404762,-0.0586963351206349,-0.33048171102381,-0.39882192109127,0.0373471401107143,-0.43342837481746,-0.382660404071429,-0.139461104191429,-0.637630333412698,-0.66763833984127,0.0587157916357937
"8","WALKING_UPSTAIRS",18,0.2662817385,-0.0267465833022637,-0.120298925425824,-0.235354387754725,-0.0461813165138462,-0.19953800552533,0.884273500906593,-0.271505182692308,-0.102626760741209,-0.954660805494505,-0.929436336263736,-0.900114458571429,0.072150599809478,0.00343792100667582,-0.0109559973634615,-0.36321592911044,-0.35285689693239,-0.656227079395604,-0.0163592639423077,-0.0821553143746429,0.0790279441231044,-0.472204126714286,-0.346732092071154,-0.271600055989835,-0.0948682450049176,-0.0448739668273352,-0.0564923072111813,-0.554434707009341,-0.689227702857143,-0.570255708106044,-0.115502702128544,-0.243174183645879,-0.115502702128544,-0.243174183645879,-0.409741497978022,-0.384727337571429,-0.189476846621703,-0.351175394284615,-0.623548800244505,-0.679564067903846,-0.295809517088462,-0.165399067660824,-0.407781998906593,-0.214401849926236,-0.0500459510947802,-0.16238498139783,-0.445818292409341,-0.165228892571978,-0.298701116601566,-0.392976308423901,-0.379103441742308,-0.624676529725275,-0.390206203472527,-0.36914759470522,-0.686916222225275,-0.354145682442308,-0.438209727964286,-0.450406093549451,-0.398614897498077,-0.483241123066621,-0.327237059503297,-0.499659468453297,-0.287251112268681,-0.324882269389286,-0.212407906565137,-0.349004775561401,-0.251176336144231,-0.267077887483901,-0.349195787098901,-0.0648712039090934,-0.361418990487088,-0.421515476265769,0.0518906221686813,-0.467240799579396,-0.391149592494505,-0.184815193307063,-0.673175175940934,-0.71218955945055,0.080550289548489
"9","WALKING_UPSTAIRS",20,0.262496410115819,-0.0262667429346545,-0.122349842295198,-0.294244544090395,-0.0585093470563277,-0.161508246477684,0.877469432457627,-0.269432033398305,-0.152025140051051,-0.947366808870057,-0.926426319067797,-0.900231848644068,0.0874430203885876,-0.0140764875834746,-0.00943378419251413,-0.41576069619774,-0.406642613766102,-0.640411506675141,0.0038461841790113,-0.0837584668037853,0.0598704430368079,-0.484245470873446,-0.36386363059887,-0.218610878531582,-0.110756285878107,-0.0292863295979096,-0.056855890539774,-0.603864422146893,-0.691643782316384,-0.612563711949152,-0.141194840941412,-0.288215695099085,-0.141194840941412,-0.288215695099085,-0.443221795110452,-0.429724296202825,-0.181043455816102,-0.35226731290678,-0.64516261220339,-0.696615294152542,-0.348512414817514,-0.192324293512994,-0.370150041309604,-0.275418400297316,-0.054997707609887,-0.126956953295113,-0.452828610329096,-0.214163793492655,-0.290622128073983,-0.440361696468927,-0.426730997867232,-0.606460398418079,-0.443185920258023,-0.426390537330226,-0.673246737937853,-0.341304675440678,-0.466709009105932,-0.472271968468926,-0.43013481324774,-0.484045241757062,-0.32188651285565,-0.506342280251412,-0.310624004840113,-0.262121317135876,-0.238451237770904,-0.343171071615819,-0.322963913853672,-0.308787660935593,-0.389437737107345,-0.0910741216513842,-0.401301418002825,-0.473976640039548,0.0483811845712712,-0.48234405779774,-0.384068269609887,-0.202088137399124,-0.687551498531073,-0.731733758220339,0.0917438281168644
"10","WALKING_UPSTAIRS",24,0.267808896939108,-0.0235493473734147,-0.118107337801575,-0.234284661767192,0.00975223748855643,-0.140897072983465,0.867379391076115,-0.291575465070866,-0.172356706899108,-0.948819721968504,-0.926918215669291,-0.904880149658793,0.0660900022010236,0.0235398696858268,-0.0184191698775328,-0.34493133207874,-0.316841320047769,-0.602038029475066,0.0259569815238845,-0.110618665487344,0.0548028447952756,-0.449471032455381,-0.309827328417585,-0.220718217691129,-0.118663524341417,-0.037130980812336,-0.0542544651888976,-0.545062585425197,-0.640385008950131,-0.55006691288189,-0.0820698370042257,-0.250372755193543,-0.0820698370042257,-0.250372755193543,-0.365717016828346,-0.37415536880315,-0.159484791354672,-0.30802450466273,-0.588181569448819,-0.649520882493438,-0.279639251656982,-0.107042926134383,-0.33150584855748,-0.219026027028609,0.00156483054771654,-0.114927764798425,-0.413372842466667,-0.16299376967769,-0.25352374418106,-0.373289306391863,-0.34192219092874,-0.563234629002625,-0.37554364316916,-0.337470382334173,-0.639975401811024,-0.326326169543885,-0.449068614214436,-0.439366824575591,-0.377911399734383,-0.419226414405774,-0.271918710540682,-0.476690732558268,-0.260823298545144,-0.279442556377428,-0.212099595869554,-0.288821917005774,-0.243659256137113,-0.248579478548556,-0.369943038099737,-0.0225879357992126,-0.33563694888189,-0.433177649425197,0.0851078791467192,-0.417832491557743,-0.357862002910499,-0.154771120169843,-0.638602910866142,-0.69122814687664,0.116326881209449
